"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","589","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [1] THREE_WORDS","","Thu Aug 20 15:06:42 UTC 2026","passed","Thu Aug 20 15:06:43 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","701","userCanCreateDepositWithValidDataTest(double) [3] 4999.99","","Thu Aug 20 15:06:34 UTC 2026","failed","Thu Aug 20 15:06:35 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","264","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [4] NO_SPECIAL_CHAR","","Thu Aug 20 15:05:50 UTC 2026","passed","Thu Aug 20 15:05:50 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","247","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [4] INVALID_CHAR","","Thu Aug 20 15:05:52 UTC 2026","passed","Thu Aug 20 15:05:52 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","787","userCanCreateDepositWithValidDataTest(double) [1] 0.01","","Thu Aug 20 15:06:32 UTC 2026","failed","Thu Aug 20 15:06:33 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","245","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [3] TOO_LONG","","Thu Aug 20 15:05:51 UTC 2026","passed","Thu Aug 20 15:05:52 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","697","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [2] EXCEED_LIMIT","","Thu Aug 20 15:06:36 UTC 2026","failed","Thu Aug 20 15:06:37 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","584","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [3] SPECIAL_CHARACTERS","","Thu Aug 20 15:06:44 UTC 2026","passed","Thu Aug 20 15:06:44 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","6626","userCanChangeNameTest()","","Thu Aug 20 15:06:25 UTC 2026","failed","Thu Aug 20 15:06:32 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanChangeNameTest"
"","3294","userCanTransferMoneyToTheSameAccountTest()","","Thu Aug 20 15:06:10 UTC 2026","failed","Thu Aug 20 15:06:14 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyToTheSameAccountTest"
